model,temperature,max_completion_tokens,top_p,prompt,no_of_samples,avg_rating,variance,std_dev,timestamp,total_time
gpt-4o-mini,1.0,1024,1.0,normal,30,7.15,5.985,2.446,20250110-033457,176.713
gpt-4o-mini,1.0,1024,1.0,normal,30,7.0,8.828,2.971,20250110-021603,99.708
gpt-4o-mini,0.0,1024,1.0,normal,30,6.867,8.189,2.862,20250110-020423,78.602
gpt-4o-mini,1.0,1024,1.0,normal,30,7.05,6.627,2.574,20250110-024028,112.991
gpt-4o-mini,1.0,1024,1.0,lenient,30,7.567,3.53,1.879,20250110-034720,143.315
gpt-4o-mini,0.0,1024,1.0,normal,30,7.167,6.902,2.627,20250110-020321,60.135
gpt-4o-mini,1.0,1024,1.0,normal,30,7.067,7.737,2.782,20250110-021242,104.599
gpt-4o-mini,1.0,1024,1.0,normal,30,6.967,8.171,2.859,20250110-032857,154.57
gpt-4o-mini,0.5,1024,1.0,normal,30,7.1,8.024,2.833,20250110-020712,71.528
gpt-4o-mini,1.0,1024,1.0,strict,30,6.4,3.386,1.84,20250110-024403,188.726
gpt-4o-mini,1.0,1024,0.5,normal,30,6.933,8.409,2.9,20250110-023240,70.726
gpt-4o-mini,1.0,1024,0.0,normal,30,6.933,7.789,2.791,20250110-022312,72.154
gpt-4o-mini,1.0,1024,0.5,normal,30,6.767,8.944,2.991,20250110-023125,73.735
gpt-4o-mini,1.0,1024,1.0,normal,30,7.033,7.206,2.684,20250110-023842,104.433
gpt-4o-mini,0.5,1024,1.0,normal,30,6.9,8.369,2.893,20250110-020825,84.431
gpt-4o-mini,0.0,1024,1.0,normal,30,6.9,8.576,2.928,20250110-020012,70.69
gpt-4o-mini,1.0,1024,1.0,normal,30,6.733,9.237,3.039,20250110-033133,202.765
gpt-4o-mini,0.0,1024,0.0,normal,30,6.933,7.513,2.741,20250110-041307,76.705
gpt-4o-mini,1.0,1024,1.0,normal,30,7.167,6.747,2.598,20250110-024223,98.186
gpt-4o-mini,0.0,1024,0.0,normal,30,6.967,7.482,2.735,20250110-040721,70.234
gpt-4o-mini,1.0,1024,0.0,normal,30,7.067,7.306,2.703,20250110-022426,88.064
gpt-4o-mini,1.0,1024,1.0,strict,30,6.417,3.553,1.885,20250110-025120,219.672
gpt-4o-mini,0.5,1024,1.0,normal,30,7.133,7.292,2.7,20250110-020950,69.913
gpt-4o-mini,1.0,1024,1.0,strict,30,6.317,3.577,1.891,20250110-025502,197.187
gpt-4o-mini,1.0,1024,1.0,lenient,30,7.6,3.817,1.954,20250110-034441,81.735
gpt-4o-mini,1.0,1024,1.0,lenient,30,7.433,4.461,2.112,20250110-034317,80.94
gpt-4o-mini,1.0,1024,0.0,normal,30,6.833,8.557,2.925,20250110-022157,74.384
gpt-4o-mini,1.0,1024,0.0,normal,30,7.0,7.448,2.729,20250110-022038,76.875
gpt-4o-mini,0.0,1024,0.0,normal,30,6.933,7.306,2.703,20250110-041016,89.732
gpt-4o-mini,1.0,1024,1.0,normal,30,6.717,7.339,2.709,20250110-034045,149.992
gpt-4o-mini,0.0,1024,1.0,normal,30,7.0,8.0,2.828,20250110-020226,54.098
gpt-4o-mini,1.0,1024,0.5,normal,30,6.867,8.947,2.991,20250110-022720,100.972
gpt-4o-mini,1.0,1024,1.0,normal,30,6.983,8.215,2.866,20250110-021911,85.128
gpt-4o-mini,1.0,1024,1.0,normal,30,7.167,6.764,2.601,20250110-021428,93.084
gpt-4o-mini,1.0,1024,1.0,lenient,30,7.5,4.414,2.101,20250110-034605,73.757
gpt-4o-mini,0.0,1024,0.0,normal,30,7.133,7.085,2.662,20250110-041203,60.938
gpt-4o-mini,1.0,1024,1.0,normal,30,7.017,7.853,2.802,20250110-021744,85.871
gpt-4o-mini,0.0,1024,1.0,normal,30,6.833,9.04,3.007,20250110-020124,60.345
gpt-4o-mini,0.0,1024,0.0,normal,30,7.067,7.375,2.716,20250110-040533,99.136
gpt-4o-mini,1.0,1024,0.0,normal,30,7.2,6.579,2.565,20250110-022555,83.788
gpt-4o-mini,1.0,1024,1.0,strict,30,6.35,3.416,1.848,20250110-025821,234.39
gpt-4o-mini,1.0,1024,1.0,normal,30,6.733,9.409,3.067,20250110-023353,161.33
gpt-4o-mini,1.0,1024,1.0,normal,30,7.233,6.185,2.487,20250110-033756,166.947
gpt-4o-mini,1.0,1024,1.0,strict,30,6.217,4.615,2.148,20250110-024713,244.885
gpt-4o-mini,0.5,1024,1.0,normal,30,6.9,7.61,2.759,20250110-021102,99.403
gpt-4o-mini,1.0,1024,0.5,normal,30,6.8,8.303,2.882,20250110-022903,65.971
gpt-4o-mini,1.0,1024,1.0,lenient,30,7.467,4.723,2.173,20250110-034946,71.08
gpt-4o-mini,1.0,1024,0.5,normal,30,7.0,7.586,2.754,20250110-023010,73.873
gpt-4o-mini,0.5,1024,1.0,normal,30,6.967,7.895,2.81,20250110-020543,87.638
gpt-4o-mini,1.0,1024,1.0,normal,30,6.733,9.168,3.028,20250110-023636,124.048
